              x               y               z
      0.7498242       0.2461287      0.02073464
      0.8394478       0.4517562       0.4187665
      0.1456762      0.09492664       0.5267074
      0.2456704       0.4934381       0.3241787
      0.7509713       0.7106674       0.6098453
      0.2277142       0.6834677       0.6278876
      0.2510044       0.4979212      0.02629363
      0.8723171       0.9675901      0.09504949
      0.5035708       0.2568272       0.2137139
      0.8929685       0.3051451      0.04115039
      0.4199046       0.4267263       0.9540417
      0.8061598       0.4153141        0.714996
      0.3148558       0.6065075       0.2308815
       0.863019       0.9027221       0.2204627
        0.27707       0.8006052       0.2366067
     0.04470064       0.5738676       0.6243541
      0.9259318       0.6556745       0.3494207
      0.6019114       0.7145029       0.8700186
      0.7957692       0.1721516       0.1894839
      0.9648232       0.5530161       0.1935326
      0.2307891       0.9706511      0.03177039
      0.8590909    0.0001127514       0.4621851
      0.1916871       0.8662109       0.7115449
      0.7032737       0.4133854       0.9378547
     0.01986295        0.710891       0.2658523
       0.352133       0.2521227        0.403539
      0.7742001       0.8573874       0.3024676
      0.9759536       0.6013326       0.3934924
      0.3692346      0.03149779       0.6345093
       0.233811        0.891604       0.1398462
      0.1287944        0.544625       0.3153408
      0.6122306       0.8341492       0.2151606
       0.763047       0.8171506       0.9517104
       0.328959       0.7141487       0.3598593
      0.4422976       0.6797524       0.7190048
      0.8823572       0.2631555       0.9190616
      0.7374844        0.716163       0.8303365
      0.5854044       0.1166586       0.3837709
      0.4880675      0.08243186       0.1314229
      0.2348241       0.5571626       0.3507199
      0.0132731       0.1388512       0.7338029
      0.8082638       0.8449267       0.1167483
      0.8592315       0.3909174       0.6639805
      0.2511641       0.2034283       0.1073796
      0.1378431       0.6227743       0.3898038
     0.02782896       0.1154634       0.8357457
      0.4582205        0.410158       0.8791076
      0.9771854       0.1185012       0.8215224
      0.7921555       0.6580853       0.9469515
      0.8576548       0.7458261       0.8873307
      0.6682929       0.2203185       0.1527313
      0.5866242       0.5662767        0.182011
      0.2833866       0.7900032       0.8041585
       0.484258        0.509596       0.2378506
         0.1715       0.5503884      0.08244439
     0.08472162       0.3663729        0.424285
      0.8918614       0.5172291       0.3854786
     0.05359365       0.9484375       0.8995126
      0.1981465       0.2638996       0.1924992
      0.9723201       0.3396586       0.9599537
      0.4964889       0.2277573       0.7954369
      0.9391851       0.6302781       0.5950548
     0.04592038       0.9051214       0.1815523
      0.1943509       0.2734096       0.5333089
      0.9488288       0.6726509      0.07074435
      0.9008896       0.1721598       0.2424667
      0.3302878        0.373524       0.4757496
      0.9226372       0.6668815       0.2991876
      0.8206165       0.5477699        0.683106
      0.7365215       0.3482516        0.109661
      0.9713905       0.5933249       0.4122889
      0.3592186      0.05958913       0.7685131
     0.04774692       0.9959117           0.585
      0.5703024       0.2623281       0.8095198
      0.9023221        0.782558       0.8475062
      0.1879739       0.4416327       0.9160547
      0.4577718        0.571643        0.645003
      0.6349957      0.02352277       0.8978892
      0.5276652      0.07041673       0.7850024
     0.03114627        0.963397       0.8435456
      0.5697035       0.8003536       0.7390685
      0.3697895       0.9402017       0.8477119
      0.6053995       0.4429793      0.07769861
      0.8941009        0.122032       0.9596633
       0.459067       0.1125483       0.7608028
      0.6445098       0.0133992       0.6879189
      0.7210059       0.2997498       0.3772823
      0.3019103       0.2187437       0.1343961
      0.9355502       0.6178774       0.9707081
      0.4502248       0.4581384       0.1775005
      0.3095186      0.06719748       0.8792116
      0.8621772       0.2143271       0.5332974
