              x               y               z
      0.6538279       0.2937689       0.6656385
      0.4216617      0.03296384       0.3693828
      0.2227412       0.3727177       0.8414618
      0.5054432       0.2793628       0.1236177
     0.02636729       0.6990474       0.7105551
      0.7817667       0.6147663       0.7168313
     0.07798519       0.9241933       0.3834865
    0.003164554       0.4227102       0.4745815
       0.835053       0.4963247       0.3540028
      0.9122552        0.428477       0.2981657
     0.09920321       0.2815279       0.4057483
      0.3618391       0.7195468       0.3808285
     0.04337805       0.2408288       0.9151859
      0.2165212         0.16199        0.625805
      0.7015644       0.5436582       0.8207944
     0.09189902        0.420054       0.6244934
      0.9599197       0.4719275       0.4495176
      0.8774786       0.2468867       0.8033439
       0.233799       0.9029901       0.1614191
      0.2767998       0.7825155       0.2106331
      0.1096637         0.58903       0.9752277
      0.5125718       0.8680072        0.692061
      0.4280688       0.5053884       0.6256346
      0.7574369       0.6930646        0.484008
      0.5831882       0.5082686       0.6849774
      0.6667575       0.7296314       0.1077636
      0.5397151       0.3558158       0.9378546
      0.6457625      0.01777474       0.7038677
      0.2917809       0.3492689       0.8403164
      0.3199975       0.5916552       0.2360088
       0.766873       0.5253022       0.7158748
       0.518041       0.6832825        0.216416
      0.8119043       0.1679584       0.7073458
      0.6486383       0.9393764       0.2359352
      0.7351996       0.8960641       0.4249811
      0.9533427       0.8669635       0.5749192
      0.6840247       0.6240256       0.1569176
      0.9077951       0.9847779      0.09914139
      0.0778032       0.7641576       0.5626527
      0.6558433       0.7357753       0.9449568
     0.06604517       0.5686515       0.5383723
      0.8017579      0.03328008       0.4293378
      0.1167919       0.1337589     0.009223481
      0.1570765       0.7163833       0.2346728
      0.3871222      0.06803356       0.4591709
      0.1798043       0.7062135       0.4997898
      0.5714489       0.7423072      0.05306307
      0.6601814       0.3094078       0.8269086
      0.3507491       0.1161723       0.3400147
      0.5801143       0.7495422       0.8717587
      0.7409603       0.3228963       0.5931393
      0.5135892       0.9031495       0.6491675
      0.1668692       0.9358369        0.162616
      0.7105379        0.596339       0.9468567
      0.6502701       0.6595722       0.6458056
      0.5348122       0.9342437       0.7752204
      0.7423564       0.4154355       0.6529083
      0.3198398       0.4990639       0.9869388
      0.8301925          0.9581       0.6427107
       0.883023       0.3204157       0.8523072
      0.7015352     0.001115302        0.266366
      0.8625019       0.7960257       0.0274546
      0.1918934       0.7439169       0.2364693
     0.07219898       0.3689172       0.4391543
      0.6775391       0.3587165      0.06080514
      0.2649224       0.2921765       0.1825032
      0.6800822       0.1601204       0.1920109
      0.9921585       0.4491316       0.7794715
       0.556518       0.5261233      0.04174528
      0.6285668       0.9311957       0.2008589
      0.3679678       0.7236253       0.4066309
      0.6540465       0.4030492      0.09443182
      0.1698854       0.1701695       0.8089517
      0.9642465       0.3965626       0.6928485
      0.2793563       0.9996817        0.678711
     0.06139645      0.01868284       0.4909265
      0.3532691       0.2940909       0.3482341
      0.6461598       0.5332714       0.8169727
      0.2334827       0.1038938       0.6972629
      0.2773615       0.1956758       0.6997107
      0.2874965       0.7214195       0.8667383
      0.2588873       0.8944049       0.9737668
      0.9700539       0.3716514      0.08821645
       0.261078       0.7740407       0.3228602
      0.4561939       0.3902663       0.2913985
      0.1345347       0.6822179       0.6045763
      0.8585483       0.8637295       0.5053826
      0.8730922       0.4265354       0.5505573
      0.9841935       0.8728292       0.4700956
      0.2298919       0.1163435      0.05743822
      0.3248441       0.1793165       0.4283894
    0.008293394       0.1922205       0.5651833
      0.8646478       0.1050678       0.7179467
      0.9826665       0.6655709       0.8618859
      0.3974417       0.9271581       0.4162692
      0.9411576       0.8312863       0.7702824
      0.3614793       0.2428538       0.9315921
      0.8103941       0.3573795        0.607307
      0.6866728       0.8466102       0.7477176
      0.7984449       0.8323108       0.8768511
      0.7495133       0.6826046       0.5079479
       0.755898       0.6985981       0.4799775
      0.7575191        0.692706       0.4847352
      0.7599511       0.6709969       0.4924331
      0.7855415       0.7387861       0.4954494
      0.8117623       0.6867865       0.4987932
      0.7834121       0.7069447       0.4777951
      0.7541536       0.6989139         0.48488
      0.7152105       0.7257816       0.4779226
      0.7271559       0.6834721       0.4595737
       0.741515       0.7128987       0.5194937
      0.7788021       0.7051382       0.4709315
      0.7817613       0.7233699       0.4715468
       0.776973        0.720213       0.4628175
      0.7471521       0.6846662       0.4775139
      0.7681456       0.6967891       0.4727564
      0.7733655       0.7127394       0.4461008
      0.8029561       0.7046501       0.4477729
      0.7686051        0.681891       0.5017035
      0.7859998       0.6663648       0.5168758
      0.7489339        0.671488       0.4357533
      0.7737634       0.6484972       0.4804588
