              x               y               z
      0.4220941        0.465913         0.95294
      0.4567003       0.3180102       0.3756101
      0.1847364       0.6468944      0.02807429
      0.5836802       0.2677828       0.9103609
       0.586674       0.8231877       0.6728133
      0.9306198       0.5078618       0.4603049
      0.3288128      0.09692265       0.5314427
      0.9658276       0.2706527       0.1154861
      0.5801498       0.3168559       0.5658872
      0.3881693        0.109727        0.525136
      0.1895445       0.4492856       0.6286918
       0.967215       0.4672619       0.4285114
      0.7987993       0.4425329      0.02746892
      0.5011335       0.2011255       0.7053771
      0.6131794      0.01786347       0.2857032
      0.2330884       0.1579264       0.8451603
      0.6155359       0.4086315       0.5669119
       0.875589        0.783125       0.8900165
       0.761146       0.6076978       0.2627041
      0.2837239       0.2754282     0.004093657
      0.4731137       0.1477866       0.7144464
      0.5133293       0.2222719       0.1053583
     0.01769122        0.398726       0.6537696
      0.2055658       0.6485493       0.2879802
      0.4358011       0.9902107       0.8003011
       0.303886        0.418903        0.348317
      0.4808737       0.1999484       0.9296068
      0.6087477        0.288941       0.5775402
      0.3888556       0.1519351        0.796744
      0.9442769       0.9387057       0.4406971
      0.2605117        0.860936       0.7069875
      0.7482606       0.9438281       0.5785823
      0.2966586       0.3499402       0.1930651
      0.6737984       0.4458179       0.7486921
      0.9887997       0.1029753       0.4533926
      0.9037963       0.1698557       0.8052028
      0.4716485       0.1115953       0.2912527
      0.3121147       0.9032741       0.8829453
      0.3091033      0.08265085        0.759705
      0.4743173       0.1128311       0.2515336
      0.2033025       0.1811073      0.04507299
      0.6087237       0.9985763       0.7361337
      0.5191007       0.8151981       0.5091857
      0.2792235       0.3208692       0.6651049
      0.9300743       0.8618634       0.2916996
      0.7313999       0.2755575       0.6693255
      0.8790044      0.04900875      0.07488195
    0.008220365       0.7103164       0.6496424
      0.2917614       0.1004038       0.4490744
      0.8038731       0.8533112       0.6255226
      0.3068115       0.2950209       0.5312776
      0.6280093       0.4496908        0.261861
      0.6076969       0.4057926       0.6830476
     0.04132034        0.973344      0.07131355
      0.4686741       0.9087815       0.8771779
      0.9978629      0.08833908       0.1179452
      0.2301103       0.3977808       0.8322267
      0.2318188       0.6776883       0.6663898
      0.2709163       0.3294098        0.181987
     0.01543831        0.388344       0.6644681
      0.8992599       0.2165754       0.9720127
      0.2701088       0.3616965      0.06867456
      0.1917635       0.5133596       0.1452831
      0.7108273       0.8568597       0.7722109
      0.1297999       0.5333786       0.1684058
      0.5032322       0.0773063       0.1705868
      0.6842513       0.4407753       0.4939317
      0.9067493       0.3196218       0.1973773
      0.9131907      0.08782059       0.7425423
      0.9508063      0.01755705       0.1116825
      0.3909839       0.1209447       0.7839044
      0.1044207       0.3909822       0.6151047
      0.4835701       0.7664579       0.9123471
      0.5076161       0.6941257       0.4039176
      0.5081882       0.5889959       0.8499732
      0.6937149       0.8768447        0.116963
      0.8612549      0.07813837       0.8287504
      0.5010389       0.6130538        0.685426
      0.2508223       0.1646733       0.2139569
      0.2102132       0.4473983       0.6118002
      0.8062864       0.8403821       0.1457088
      0.3785647       0.2373169      0.01504662
       0.906759       0.4132431       0.9395332
      0.4463311       0.6065789       0.3617451
      0.1163847       0.1740708       0.6785651
      0.1365319      0.02698801        0.367222
       0.758654       0.7506595       0.4559427
      0.3876779       0.3274413       0.3050264
      0.1373325       0.7900831       0.4105873
      0.9500343      0.07374009       0.3619921
     0.09126445       0.5299969       0.3708162
      0.4179973       0.4271261       0.8931071
      0.6571673       0.8930442       0.6121042
      0.9928267       0.7444602       0.8376358
      0.2778898       0.7932301      0.03710664
      0.9986418       0.6201488      0.08956149
      0.8495305       0.4540369      0.06943329
      0.4737915      0.05569935      0.09282171
