              x               y               z
      0.0402019       0.1851355       0.9350128
      0.7125248       0.2228137       0.8502434
      0.3109024       0.7912134       0.1742765
      0.4250183       0.1951021       0.1128243
      0.1545911       0.3324888       0.5649961
      0.2976685       0.2198413       0.2906071
      0.8231836       0.1749417       0.8269204
     0.04324711       0.9561688       0.5630499
      0.2455063        0.213476       0.2677073
      0.5254435       0.2012396    0.0002775143
      0.2066724       0.7972361       0.5816695
      0.3168775       0.5659797       0.9642234
      0.2846276       0.2982959       0.3196929
      0.4637984       0.0794585       0.2825798
      0.6036078      0.03230194       0.7136107
      0.8742083       0.7523933       0.2559612
      0.8940377       0.7494449       0.1355881
      0.9927596       0.7124479       0.5541477
       0.121929       0.9653965       0.4579618
      0.4765909       0.6235289       0.5100366
      0.3582536      0.05007287       0.2660183
      0.5285355       0.1192157       0.1156575
      0.2170582       0.6422234      0.08107585
      0.6094852       0.4665753       0.8646965
      0.2572868       0.5960825      0.03231815
      0.4554298       0.7555907       0.6517859
      0.7234214       0.6350034       0.8885162
      0.6977287      0.09035857       0.5361446
     0.05439315       0.9375254       0.3522314
      0.5928654       0.2138352       0.8281597
      0.4141779       0.3176749       0.5965989
      0.9697207       0.8528951       0.8338495
      0.2955808       0.5821054       0.8757532
      0.2912825       0.6226265        0.605435
      0.2913652       0.1742532       0.8578556
     0.09362848       0.7537373       0.9118478
     0.04744955       0.8153799       0.1493519
      0.5482788       0.7568258        0.987908
      0.9272325      0.07272434       0.2418116
      0.7133281       0.4545662       0.3960053
      0.1609304       0.2260697       0.5453846
      0.3684443         0.33109      0.05434205
      0.5922751       0.6298929       0.8196273
     0.02572358       0.5948348       0.6556067
      0.1398678       0.8895154       0.2449716
      0.9258278       0.3052658       0.6433629
      0.6561905       0.6758992       0.3498089
     0.01300556       0.8600672       0.6069053
      0.9772479       0.6935139       0.9455166
      0.9205527       0.9632909       0.9864041
      0.6455597       0.4220886       0.9741051
      0.9487794       0.6276158       0.3090901
      0.7362533        0.653022       0.6728174
      0.0801789       0.9673496       0.8998556
      0.1012265       0.2257119       0.2412813
      0.8064598       0.1906647       0.3895727
      0.8611591      0.02919338        0.875972
      0.6458197      0.07789613       0.2072478
       0.748792       0.9954425       0.3764406
      0.8278963       0.3184757        0.906488
      0.6073688       0.3839128      0.02443259
      0.1632044       0.9073426       0.1837664
      0.2679284      0.09083995       0.1925485
      0.4957066     0.004344659       0.8947838
      0.5059152      0.01748301       0.4112875
      0.2308463      0.06604348       0.9542719
      0.7578476       0.1335618       0.4753252
      0.4184416       0.2886342       0.5102327
     0.07133293       0.5120798       0.8239372
      0.5506009       0.4826205       0.3140279
      0.3227113       0.1080518       0.1630228
      0.7057769       0.2871339       0.3139044
      0.2886801       0.6677785      0.03583483
      0.9568752        0.825132       0.5167379
      0.9738456       0.6590875        0.130821
      0.4112102       0.5568935       0.3353241
      0.7616808       0.9133059        0.166735
      0.8537288       0.5887923       0.1596805
      0.9415011       0.4411161      0.06756863
      0.8320602       0.4958089       0.6361001
      0.2792498        0.632267       0.7050252
