              x               y               z
      0.8333026       0.4659974        0.407309
      0.4154165       0.3504169       0.4197747
        0.98984      0.07423333       0.9150335
      0.7841272        0.479543       0.7692495
      0.7259202       0.8453027       0.3917271
      0.2256348       0.5448131       0.9453924
      0.9175661       0.1596746       0.4083051
      0.4323016       0.3435958       0.6814042
     0.09865326       0.3303964       0.5304659
     0.01230948       0.7496175       0.2053002
      0.2481546       0.6824878       0.5359195
      0.7252696       0.6399085       0.8806767
      0.9740514       0.1346354       0.4014897
      0.3600576       0.3354723       0.1717272
      0.2432227       0.5970263       0.7980086
       0.144953       0.2590856       0.4982269
      0.9886618       0.2290723        0.909086
      0.9965292       0.2452117       0.5272501
      0.7828385       0.9165525       0.4561173
      0.9510021       0.7113961       0.4799301
      0.2560484        0.285839       0.6691076
       0.030236       0.9334465      0.08205677
      0.9671501      0.06330713       0.4892614
      0.9223651       0.8492897       0.7595411
      0.7287408       0.9853591       0.7002327
      0.8605624       0.4684385        0.269547
      0.1266099       0.4170192       0.2975514
    0.006501122       0.7194575       0.0656676
      0.1867358       0.4671986       0.7981214
      0.6789033       0.2274969       0.4286553
      0.2106585       0.7037493       0.9783185
      0.4815792       0.8766649       0.7945505
      0.2125677       0.8693988       0.5230807
      0.2082892       0.4460155       0.2677046
      0.4659173       0.4876299       0.9470815
      0.9713273       0.6520525       0.4949637
     0.01178303      0.09780689       0.9549611
      0.2130027       0.1918989       0.6977464
      0.6999097       0.8267767       0.9050362
      0.4183311      0.09055023       0.6819812
      0.5358683       0.9367172        0.960332
      0.8380836       0.3830145       0.1418001
      0.1332469      0.02781041       0.1851344
      0.3220484       0.6642908        0.526091
      0.9101208       0.4560473       0.3267357
      0.7405434        0.478648       0.6593083
      0.1423045      0.07532813       0.8183586
      0.6954192       0.2312722      0.09733635
      0.7148086       0.8430143       0.1909266
      0.8190429       0.9052609       0.2252138
      0.9107742       0.5471255       0.9562666
      0.2669608       0.5061697       0.3020233
      0.5291474       0.6605944       0.9796512
      0.7502939       0.1651963       0.7461083
      0.2223427       0.4242621       0.2725784
      0.8245069       0.2407789       0.6877605
